Fecha de Aplicacion	Numero de Documento	Total Monto
20240102	c1f762fca4bc1e4	3000000.0
20240102	b368cd18c5fe947	2500000.0
20240102	98bb1b211d1a993	2500000.0
20240102	d3429eb2c28a81a	1852000.0
20240102	74642499f361607	1726800.0
20240102	26c923ea79bfb47	1602000.0
20240102	5cd6d96c303f326	1500000.0
20240102	19a80fa9250d0e3	1500000.0
20240102	0f08c747c5c4733	1400000.0
20240102	de25688a94a57a6	1000000.0
20240102	86f74daf3f424a4	1000000.0
20240102	6e83a66ccff14cf	1000000.0
20240102	93751b325bf7d59	921655.0
20240102	0f82bd8724975d7	892000.0
20240102	d83ec61ce519efc	870000.0
20240102	65983f4c851095b	750000.0
20240102	b52774e6c422ef7	700000.0
20240102	0851038200c2736	585000.0
20240102	fe47322c194bd45	500000.0
20240102	e522d8c03c91d9a	500000.0
20240102	d42fb95de444728	500000.0
20240102	9f487cb1267ff98	470820.0
20240102	831333e2e6c3d7f	440000.0
20240102	0658aba821fef9d	394443.0
20240102	cf540a6452eb440	393000.0
20240102	41003d7602cde57	390703.0
20240102	ff4a6233a34dbd5	287000.0
20240102	c99fb3f64ce3dce	260000.0
20240102	cfc020e7ce9ca72	250000.0
20240102	8178340b3122c4e	250000.0
20240102	79ee1d28aa08c78	227000.0
20240102	4b43457c7a5969e	210000.0
20240102	bcc7961e75ad68c	207000.0
20240102	e533b359faae40b	200000.0
20240102	a1bfe98f53f39e7	200000.0
20240102	8ec9e12cf512e30	200000.0
20240102	87133fab2966022	200000.0
20240102	818122929f42e27	200000.0
20240102	6819a2da4c459d5	200000.0
20240102	4bebcee6b91bbc1	200000.0
20240102	1b6bdeead9a0bde	200000.0
20240102	5cbe1a3b49a7f2a	195000.0
20240102	57ac36f0ead6221	180000.0
20240102	2fa98b451b487b5	172439.0
20240102	071717349bb3f2f	170000.0
20240102	94d71a2292c726c	168000.0
20240102	7c0da8ee3086307	160000.0
20240102	3c91a6df52ebc41	151000.0
20240102	ca378d8300e222c	120000.0
20240102	8c01841bf57e2cb	116000.0
20240103	1f2d15f15db64d4	48087798.0
20240103	5edeff6e077f2d1	8974392.0
20240103	cfa4d1b2a5cd91c	6851109.76
20240103	f82186b080f61f7	6000000.0
20240103	bed3f7b73da64e4	6000000.0
20240103	68cfac1cacfe65a	5270638.0
20240103	9369ecc9da58d25	4141732.0
20240103	01e93b24ca1214c	2127267.0
20240103	dd04d544f79f84d	1500000.0
20240103	9060fa7823b4fdb	1467916.0
20240103	a6d828b483df2af	1451000.0
20240103	6e05111f8504e28	1400000.0
20240103	a45dc49b84cba38	1300000.0
20240103	f64809547f47b02	1000000.0
20240103	779170ae4f87fb1	1000000.0
20240103	52cc7ce60277a69	973978.21
20240103	25135f800092907	840013.69
20240103	d7b5e70caf095b8	787336.0
20240103	05c6c8b0221039a	740000.0
